,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",y,missing_values,missing_ratio
103,990025,NGC 1560,0.8501941153792532,73.93621738313934,28786.50068725372,0.8429283008555492,13.420805910242796,9.638808214168963,0.7981127937497315,0.6439852045479673,6429.303153701646,61.04142332680761,140.71157994315186,15.903135407662713,3641.5142206051178,365.476167304985,73.07802221956351,76.19556472874784,710.8042650954327,69.77338384044882,274.4519493856081,339.00230068675666,9.893136935517626,8.1966517168074,12.554925446458116,11.482346799796044,54.875740781250755,72.16150594148428,4.97732295823462,0.059185239038441424,24,0.2962962962962963
203,991020,NGC 1560,0.8549558447130945,77.25994840317188,23358.450700705278,0.8273066132886826,14.185751340348688,8.33929880285964,0.6850706879535027,0.6731495473552745,6123.4366805446325,76.8991662401982,153.43229087347402,17.494724426611267,3932.432552811956,373.03256500651503,70.56592326878233,79.52675988229852,697.1545048057901,74.689135199952,279.18800373473044,301.9452190434981,9.629321926845904,9.431839356535084,11.70814459124872,12.17636277894194,62.467389327508535,72.53677011164172,4.446639218693192,0.05725478128489201,43,0.5308641975308642
502,992016,NGC 1560,0.8537535111910621,77.34861114083255,32646.706208793043,0.9402882000768884,14.102159168059124,10.220055943427866,0.8326225459251899,0.5606570850099636,6515.479808848517,67.74841489570919,106.24959057055572,19.81118458371825,3720.143717475883,364.0291356686622,76.23609891533589,71.5945522992236,727.4253489982759,73.31164188534053,256.5365591497789,401.7802019039791,8.864618818453236,8.715455572876415,15.680003253169096,12.89775026789444,74.0276048661862,73.95124247015532,5.368533332620268,0.057196098205463015,50,0.6172839506172839
636,993012,NGC 1560,0.8748986964638793,79.7154015562234,28751.710391725454,0.8046163485218938,12.351810621524903,9.683991151776398,0.8015018574284928,0.6506174238370094,6362.02282028917,70.04845916084837,116.29344396553336,20.227322085879415,3896.3685512487373,400.4590766822092,69.45636910923453,83.52534064083105,694.9534129984413,63.19977869418643,241.37031077091308,250.4225281451885,11.011776254556693,10.843248310017616,13.737817378779745,13.490961277597973,76.26576755406779,85.18707500327379,6.250598379398568,0.05703064505434064,50,0.6172839506172839
721,994009,NGC 1560,0.825328540398697,74.11283864940455,18438.21387188992,0.9218911667849636,12.906718571681127,9.278366780090447,0.7017926550978782,0.6289314018932017,6545.003097887986,69.22701932532128,120.04818247279611,16.772859323272062,3876.571735687051,430.55413056446463,76.33642191968319,78.81784942460372,711.1602901197597,54.87663480603012,332.8847291348181,327.3410963913576,11.68801692849468,11.57179975904858,12.102098464638686,14.157308681537648,74.09936132506667,84.63553709526852,5.6031172386841535,0.05678358497723745,50,0.6172839506172839
976,995006,NGC 1560,0.8170015934818825,80.87403926917109,17802.38194571495,0.8380314059712377,13.075014040475054,7.259359458778187,0.7554702599783361,0.6479566825349442,6398.900228756816,65.36895309771992,134.11887688855742,19.579840932502247,3963.5381741937854,459.7188554731962,73.52015218546667,78.20069327286829,667.7596464058565,79.39518118388804,265.2029047880169,402.15018506380926,9.728029779460828,11.274765141796715,13.250041909686413,11.525749995061581,65.61551746657021,90.49793041719104,5.379289112268788,0.0566557521208283,9,0.1111111111111111
1142,996004,NGC 1560,0.8887677766670183,81.0841661359177,37751.39481643442,0.8818624726649538,10.98239152047262,10.859894303024369,0.8440455578098321,0.6669128713013608,6864.205912832767,73.07217973750136,126.5139562219657,21.096965320947007,3824.179135835056,428.7228879867212,76.04922842441506,76.55673881670248,659.8729955007095,71.51698282728222,287.3558339338016,352.37739925776975,8.708519910426027,9.182866111005328,12.222340315995051,14.231904285077169,77.52207631300338,72.03107859108741,3.808340785510624,0.05570923669944605,49,0.6049382716049383
1417,997002,NGC 1560,0.9225688637209556,74.31794067540254,22511.63301514224,0.9241883605198744,14.369875433645403,11.23188644070852,0.748407004700772,0.7266705677281106,6943.23341987471,67.06856482893794,125.19643236560977,22.209337685263076,4265.6794635473025,459.8694639603199,67.0454216377656,79.09077451505284,657.6139191534428,60.82591499200046,324.1891768521518,394.6566520171394,9.330555110769147,12.0603437138278,12.374207356387258,13.019329170375096,83.43470335113095,105.94674799345124,5.805543428769102,0.05548885509987378,48,0.5925925925925926
1499,998001,NGC 1560,0.8656536927295706,76.18252758604041,18952.64583841505,0.9457912930900768,12.649533603420625,8.542800817969596,0.6718580024288672,0.6646356285424398,6307.463418872412,81.62184080480522,104.97088137600859,17.647908460923645,4259.6175724570785,463.58427468290637,78.43214683691862,81.64074041304127,639.8772284493948,77.1596670655373,289.3114833067026,309.6687517016673,9.775971248070617,9.252954229036645,15.116637734770972,13.438098881975806,85.35429034550891,77.03552928596628,5.515229925282018,0.055344933829390534,48,0.5925925925925926
1712,999000,NGC 1560,0.8707891132539325,78.37108212934248,17345.50535282407,0.8869160815471546,14.58036614283282,8.92246959293942,0.827681342705618,0.6668512137193843,6899.5884451550255,75.91858374440099,112.9007410978853,19.053629112882298,4162.917779523186,397.1840908737127,69.87726290230704,83.82158254995106,678.6333935673206,60.00976499032776,211.6982618371412,298.0028258054607,10.504971737260265,11.597572266593945,13.106793429230116,29.045187726982444,56.21937139147396,101.65335416787696,5.322476543164576,0.05521664979048968,48,0.5925925925925926
